id,customer_id,amount,status,region
1,CUST-101,500.0,PAID,US-EAST
2,CUST-104,300.0,PAID,US-WEST
3,CUST-109,200.0,REFUNDED,EU-CENTRAL
4,CUST-350,49.51,PAID,EU-CENTRAL
5,CUST-189,889.04,PAID,LATAM-NORTH
6,CUST-323,57.5,REFUNDED,US-EAST
7,CUST-674,616.32,PAID,US-EAST
8,CUST-703,515.03,PENDING,AP-SOUTH
9,CUST-877,975.13,PAID,US-EAST
10,CUST-320,421.5,REFUNDED,US-WEST
11,CUST-199,140.61,PAID,AP-SOUTH
12,CUST-847,732.4,PAID,US-EAST
13,CUST-180,167.29,PENDING,AP-SOUTH
14,CUST-982,365.95,PENDING,LATAM-NORTH
15,CUST-146,701.28,PAID,US-EAST
16,CUST-987,1182.56,PAID,US-WEST
17,CUST-266,348.01,REFUNDED,EU-CENTRAL
18,CUST-818,439.22,PAID,EU-CENTRAL
19,CUST-846,769.27,PENDING,LATAM-NORTH
20,CUST-376,212.81,PAID,AP-SOUTH
21,CUST-334,827.84,PAID,US-EAST
22,CUST-316,493.37,PAID,US-EAST
23,CUST-505,270.9,PAID,AP-SOUTH
24,CUST-862,332.56,PAID,US-WEST
25,CUST-538,330.04,PENDING,LATAM-NORTH
26,CUST-241,491.29,PENDING,US-WEST
27,CUST-981,602.35,PENDING,US-EAST
28,CUST-911,200.35,PAID,US-WEST
29,CUST-710,94.96,PENDING,AP-SOUTH
30,CUST-981,644.35,REFUNDED,LATAM-NORTH
31,CUST-798,822.73,PAID,US-EAST
32,CUST-214,926.95,PAID,EU-CENTRAL
33,CUST-839,206.63,REFUNDED,US-EAST
34,CUST-619,1166.83,PAID,US-WEST
35,CUST-723,1013.17,PAID,LATAM-NORTH
36,CUST-652,461.22,PAID,US-WEST
37,CUST-119,726.75,PAID,AP-SOUTH
38,CUST-345,1056.89,PAID,EU-CENTRAL
39,CUST-187,1056.05,PAID,US-EAST
40,CUST-884,1174.02,PAID,LATAM-NORTH
41,CUST-269,798.51,PAID,LATAM-NORTH
42,CUST-316,1049.47,PENDING,AP-SOUTH
43,CUST-830,911.21,PENDING,US-WEST
44,CUST-548,490.81,PAID,EU-CENTRAL
45,CUST-165,162.78,REFUNDED,US-WEST
46,CUST-335,44.82,PAID,LATAM-NORTH
47,CUST-334,28.49,PAID,US-EAST
48,CUST-626,1034.37,PAID,US-EAST
49,CUST-652,809.39,PAID,US-WEST
50,CUST-903,699.93,PENDING,US-WEST
51,CUST-196,972.85,REFUNDED,US-WEST
52,CUST-533,797.6,PAID,EU-CENTRAL
53,CUST-789,1039.33,REFUNDED,US-EAST
54,CUST-919,91.52,PAID,EU-CENTRAL
55,CUST-559,246.08,PAID,LATAM-NORTH
56,CUST-355,236.52,REFUNDED,AP-SOUTH
57,CUST-200,542.89,PAID,LATAM-NORTH
58,CUST-871,1006.51,PENDING,US-EAST
59,CUST-592,216.25,PAID,AP-SOUTH
60,CUST-488,1084.88,REFUNDED,US-WEST
61,CUST-902,1182.66,PAID,EU-CENTRAL
62,CUST-777,519.15,PAID,LATAM-NORTH
63,CUST-159,244.08,PAID,US-WEST
64,CUST-158,91.93,PENDING,EU-CENTRAL
65,CUST-973,709.33,PAID,LATAM-NORTH
66,CUST-182,87.12,PAID,LATAM-NORTH
67,CUST-513,722.14,PAID,US-WEST
68,CUST-140,310.53,PENDING,LATAM-NORTH
69,CUST-678,116.74,PENDING,LATAM-NORTH
70,CUST-309,393.32,PENDING,EU-CENTRAL
71,CUST-234,301.65,PAID,AP-SOUTH
72,CUST-109,393.09,REFUNDED,US-EAST
73,CUST-202,752.97,REFUNDED,LATAM-NORTH
74,CUST-371,654.41,PAID,LATAM-NORTH
75,CUST-478,1059.42,PAID,US-WEST
76,CUST-820,537.06,PAID,LATAM-NORTH
77,CUST-108,1180.95,PENDING,LATAM-NORTH
78,CUST-999,373.27,PENDING,US-EAST
79,CUST-860,332.07,PAID,US-EAST
80,CUST-315,341.37,PAID,LATAM-NORTH
81,CUST-617,831.25,PAID,EU-CENTRAL
82,CUST-194,1088.3,PAID,US-EAST
83,CUST-889,72.02,PAID,EU-CENTRAL
84,CUST-664,210.67,PAID,AP-SOUTH
85,CUST-807,31.41,PENDING,US-EAST
86,CUST-696,663.8,PAID,EU-CENTRAL
87,CUST-415,527.15,PAID,US-EAST
88,CUST-798,1080.73,PAID,US-WEST
89,CUST-995,437.34,PAID,LATAM-NORTH
90,CUST-985,904.38,PENDING,US-WEST
91,CUST-522,1171.92,PAID,US-WEST
92,CUST-901,889.15,PAID,EU-CENTRAL
93,CUST-491,334.83,PAID,US-EAST
94,CUST-458,282.47,REFUNDED,AP-SOUTH
95,CUST-328,988.23,PAID,US-WEST
96,CUST-985,490.19,PAID,EU-CENTRAL
97,CUST-509,434.35,PAID,LATAM-NORTH
98,CUST-998,1128.3,PAID,US-EAST
99,CUST-139,705.1,PAID,EU-CENTRAL
100,CUST-546,532.79,PENDING,EU-CENTRAL
101,CUST-494,1181.4,PENDING,US-EAST
102,CUST-825,244.29,PENDING,US-EAST
103,CUST-803,22.0,REFUNDED,LATAM-NORTH
104,CUST-780,449.78,PAID,US-EAST
105,CUST-837,390.42,PENDING,US-EAST
106,CUST-434,618.4,PAID,AP-SOUTH
107,CUST-530,674.21,PAID,US-WEST
108,CUST-515,746.31,PAID,EU-CENTRAL
109,CUST-540,378.57,PAID,US-WEST
110,CUST-552,792.55,PENDING,AP-SOUTH
111,CUST-584,817.24,REFUNDED,LATAM-NORTH
112,CUST-627,797.44,PAID,EU-CENTRAL
113,CUST-788,130.2,PAID,US-WEST
114,CUST-125,971.74,PAID,US-WEST
115,CUST-970,1181.04,PAID,LATAM-NORTH
116,CUST-299,509.04,REFUNDED,LATAM-NORTH
117,CUST-251,603.37,REFUNDED,US-WEST
118,CUST-897,1073.34,PAID,US-EAST
119,CUST-575,227.55,PAID,LATAM-NORTH
120,CUST-567,314.05,PENDING,US-EAST
121,CUST-672,965.67,PAID,LATAM-NORTH
122,CUST-727,1141.05,PAID,AP-SOUTH
123,CUST-556,1000.07,REFUNDED,LATAM-NORTH
124,CUST-560,897.51,PAID,AP-SOUTH
125,CUST-884,1011.04,PAID,EU-CENTRAL
126,CUST-550,759.56,REFUNDED,EU-CENTRAL
127,CUST-378,861.98,PAID,US-WEST
128,CUST-241,1073.77,PAID,US-EAST
129,CUST-823,471.98,PAID,US-WEST
130,CUST-655,509.54,PAID,EU-CENTRAL
131,CUST-498,93.47,REFUNDED,AP-SOUTH
132,CUST-977,1136.35,PENDING,US-EAST
133,CUST-460,468.85,PENDING,US-EAST
134,CUST-651,909.1,PAID,AP-SOUTH
135,CUST-324,1079.42,PENDING,AP-SOUTH
136,CUST-498,534.29,PAID,US-EAST
137,CUST-230,874.53,REFUNDED,AP-SOUTH
138,CUST-706,650.27,PENDING,AP-SOUTH
139,CUST-758,802.34,PENDING,US-EAST
140,CUST-286,180.13,REFUNDED,AP-SOUTH
141,CUST-316,326.98,PAID,EU-CENTRAL
142,CUST-384,418.25,PAID,AP-SOUTH
143,CUST-119,1005.19,PAID,AP-SOUTH
144,CUST-329,1199.89,PAID,EU-CENTRAL
145,CUST-304,910.0,PAID,US-WEST
146,CUST-584,199.81,PENDING,US-WEST
147,CUST-576,685.48,PAID,US-WEST
148,CUST-865,217.99,PAID,LATAM-NORTH
149,CUST-692,1158.37,PAID,US-EAST
150,CUST-506,699.44,PAID,AP-SOUTH
151,CUST-204,718.68,PAID,US-WEST
152,CUST-901,970.52,PENDING,LATAM-NORTH
153,CUST-777,429.7,PAID,AP-SOUTH
154,CUST-112,617.03,PAID,EU-CENTRAL
155,CUST-750,144.54,REFUNDED,EU-CENTRAL
156,CUST-280,854.62,REFUNDED,AP-SOUTH
157,CUST-730,1159.26,PENDING,EU-CENTRAL
158,CUST-546,934.08,PENDING,AP-SOUTH
159,CUST-950,336.71,PENDING,US-WEST
160,CUST-349,349.14,PAID,AP-SOUTH
161,CUST-444,740.19,PENDING,AP-SOUTH
162,CUST-286,603.28,PAID,EU-CENTRAL
163,CUST-448,438.69,PAID,EU-CENTRAL
164,CUST-669,847.4,PENDING,EU-CENTRAL
165,CUST-187,629.62,PAID,US-WEST
166,CUST-807,596.52,REFUNDED,US-WEST
167,CUST-558,782.17,REFUNDED,AP-SOUTH
168,CUST-514,129.8,PAID,US-WEST
169,CUST-584,803.47,PAID,EU-CENTRAL
170,CUST-438,425.63,PENDING,LATAM-NORTH
171,CUST-413,849.37,PAID,EU-CENTRAL
172,CUST-423,162.37,PAID,US-WEST
173,CUST-296,1142.04,PENDING,US-WEST
174,CUST-841,891.55,PAID,EU-CENTRAL
175,CUST-952,724.21,PENDING,US-EAST
176,CUST-283,369.57,PAID,EU-CENTRAL
177,CUST-380,855.46,PAID,US-WEST
178,CUST-753,672.96,PAID,US-WEST
179,CUST-391,1049.81,PAID,LATAM-NORTH
180,CUST-152,539.75,REFUNDED,US-WEST
181,CUST-216,1130.46,PAID,AP-SOUTH
182,CUST-744,600.26,REFUNDED,LATAM-NORTH
183,CUST-411,199.04,PAID,LATAM-NORTH
184,CUST-720,159.77,PAID,AP-SOUTH
185,CUST-489,286.31,PENDING,LATAM-NORTH
186,CUST-980,1092.04,REFUNDED,EU-CENTRAL
187,CUST-682,1188.24,PENDING,EU-CENTRAL
188,CUST-881,91.07,PENDING,US-EAST
189,CUST-776,758.11,PAID,EU-CENTRAL
190,CUST-176,303.04,PAID,LATAM-NORTH
191,CUST-581,502.05,PAID,LATAM-NORTH
192,CUST-819,293.14,PAID,EU-CENTRAL
193,CUST-906,831.11,PAID,EU-CENTRAL
194,CUST-330,521.66,PAID,LATAM-NORTH
195,CUST-161,995.42,PAID,US-EAST
196,CUST-395,722.15,PAID,LATAM-NORTH
197,CUST-816,573.06,PAID,EU-CENTRAL
198,CUST-548,610.56,PAID,AP-SOUTH
199,CUST-852,67.04,PENDING,AP-SOUTH
200,CUST-193,732.38,PAID,US-EAST
201,CUST-883,712.81,PENDING,US-EAST
202,CUST-581,699.97,PAID,US-WEST
203,CUST-699,1100.97,REFUNDED,US-WEST
204,CUST-193,769.05,REFUNDED,AP-SOUTH
205,CUST-428,430.59,REFUNDED,EU-CENTRAL
206,CUST-521,1032.13,PAID,EU-CENTRAL
207,CUST-933,801.85,PAID,AP-SOUTH
208,CUST-358,556.69,PAID,EU-CENTRAL
209,CUST-985,1164.82,PAID,AP-SOUTH
210,CUST-573,796.04,PAID,LATAM-NORTH
211,CUST-737,241.35,PAID,EU-CENTRAL
212,CUST-373,916.79,REFUNDED,US-WEST
213,CUST-548,174.6,PENDING,EU-CENTRAL
214,CUST-918,163.28,REFUNDED,LATAM-NORTH
215,CUST-664,857.54,PAID,EU-CENTRAL
216,CUST-961,501.43,PENDING,US-WEST
217,CUST-763,564.51,PAID,US-EAST
218,CUST-621,1120.53,REFUNDED,EU-CENTRAL
219,CUST-583,510.28,PAID,AP-SOUTH
220,CUST-295,670.49,REFUNDED,AP-SOUTH
221,CUST-984,619.72,PENDING,US-WEST
222,CUST-448,345.97,PAID,AP-SOUTH
223,CUST-843,988.25,PAID,EU-CENTRAL
224,CUST-986,704.31,PENDING,AP-SOUTH
225,CUST-453,546.93,PAID,AP-SOUTH
226,CUST-566,920.19,PENDING,AP-SOUTH
227,CUST-685,1046.13,PAID,US-WEST
228,CUST-144,1030.1,PAID,AP-SOUTH
229,CUST-495,852.17,REFUNDED,AP-SOUTH
230,CUST-229,604.49,PAID,US-EAST
231,CUST-995,411.75,PENDING,US-EAST
232,CUST-115,137.66,REFUNDED,AP-SOUTH
233,CUST-176,503.77,PAID,US-WEST
234,CUST-765,419.5,PAID,AP-SOUTH
235,CUST-489,1025.76,PAID,LATAM-NORTH
236,CUST-732,1049.41,REFUNDED,US-EAST
237,CUST-332,297.03,PAID,EU-CENTRAL
238,CUST-554,1174.44,REFUNDED,US-EAST
239,CUST-147,838.92,PAID,US-EAST
240,CUST-541,366.17,PAID,EU-CENTRAL
241,CUST-798,646.78,PAID,LATAM-NORTH
242,CUST-991,226.58,PAID,LATAM-NORTH
243,CUST-697,826.1,PENDING,AP-SOUTH
244,CUST-570,293.98,PAID,EU-CENTRAL
245,CUST-394,1080.71,PAID,AP-SOUTH
246,CUST-701,107.16,PAID,EU-CENTRAL
247,CUST-965,834.57,REFUNDED,AP-SOUTH
248,CUST-973,255.08,PAID,AP-SOUTH
249,CUST-467,299.9,PAID,LATAM-NORTH
250,CUST-122,1191.38,PAID,EU-CENTRAL
251,CUST-720,29.56,PAID,US-EAST
252,CUST-721,935.37,PAID,US-WEST
253,CUST-356,771.21,PAID,LATAM-NORTH
254,CUST-416,1086.02,PAID,US-EAST
255,CUST-192,703.9,PAID,US-WEST
256,CUST-305,902.03,PAID,US-WEST
257,CUST-643,1054.22,PENDING,EU-CENTRAL
258,CUST-363,1097.91,PENDING,US-WEST
259,CUST-864,1161.51,REFUNDED,EU-CENTRAL
260,CUST-177,968.99,PAID,AP-SOUTH
261,CUST-966,1034.97,PAID,AP-SOUTH
262,CUST-114,126.56,PAID,AP-SOUTH
263,CUST-788,165.83,PENDING,EU-CENTRAL
264,CUST-210,709.78,PAID,EU-CENTRAL
265,CUST-435,49.53,REFUNDED,LATAM-NORTH
266,CUST-750,281.21,PENDING,US-EAST
267,CUST-764,1093.08,REFUNDED,EU-CENTRAL
268,CUST-138,157.68,REFUNDED,US-EAST
269,CUST-199,1195.19,PAID,US-EAST
270,CUST-479,180.08,PENDING,AP-SOUTH
271,CUST-524,514.57,PENDING,US-WEST
272,CUST-517,1003.76,PAID,LATAM-NORTH
273,CUST-554,834.53,PAID,US-WEST
274,CUST-802,1029.43,PAID,US-EAST
275,CUST-162,1084.0,PENDING,EU-CENTRAL
276,CUST-968,345.54,REFUNDED,US-EAST
277,CUST-757,128.17,REFUNDED,US-WEST
278,CUST-905,1165.89,PENDING,US-EAST
279,CUST-905,307.41,PAID,US-WEST
280,CUST-312,100.96,PAID,LATAM-NORTH
281,CUST-436,979.4,PAID,US-WEST
282,CUST-233,23.35,PENDING,US-WEST
283,CUST-212,315.77,PENDING,US-WEST
284,CUST-908,175.53,PAID,EU-CENTRAL
285,CUST-371,402.05,PENDING,US-WEST
286,CUST-638,169.58,PAID,AP-SOUTH
287,CUST-625,581.97,PAID,EU-CENTRAL
288,CUST-729,553.37,PAID,US-WEST
289,CUST-162,375.92,PENDING,US-EAST
290,CUST-802,1019.81,REFUNDED,AP-SOUTH
291,CUST-175,598.52,PAID,AP-SOUTH
292,CUST-229,737.79,PAID,US-EAST
293,CUST-829,767.03,PENDING,LATAM-NORTH
294,CUST-643,469.47,PAID,LATAM-NORTH
295,CUST-201,616.55,REFUNDED,AP-SOUTH
296,CUST-838,1026.3,PAID,LATAM-NORTH
297,CUST-523,552.83,REFUNDED,US-WEST
298,CUST-525,996.35,PAID,AP-SOUTH
299,CUST-483,523.58,PAID,EU-CENTRAL
300,CUST-195,99.22,REFUNDED,US-EAST
301,CUST-931,133.95,REFUNDED,EU-CENTRAL
302,CUST-675,676.52,PAID,LATAM-NORTH
303,CUST-462,810.62,PAID,AP-SOUTH
304,CUST-419,1162.71,PAID,LATAM-NORTH
305,CUST-258,701.94,PAID,US-WEST
306,CUST-965,1019.78,PAID,EU-CENTRAL
307,CUST-687,155.56,PAID,EU-CENTRAL
308,CUST-728,1017.28,REFUNDED,LATAM-NORTH
309,CUST-129,50.98,PENDING,EU-CENTRAL
310,CUST-447,342.46,PAID,EU-CENTRAL
311,CUST-679,234.06,PAID,US-WEST
312,CUST-193,187.41,PAID,US-EAST
313,CUST-449,463.91,PAID,AP-SOUTH
314,CUST-895,387.73,PAID,EU-CENTRAL
315,CUST-259,120.25,PENDING,US-EAST
316,CUST-790,910.23,PAID,US-EAST
317,CUST-597,542.87,PAID,AP-SOUTH
318,CUST-873,508.74,REFUNDED,US-WEST
319,CUST-213,154.3,PENDING,AP-SOUTH
320,CUST-598,820.3,PAID,LATAM-NORTH
321,CUST-713,73.59,PAID,AP-SOUTH
322,CUST-885,261.22,PAID,US-WEST
323,CUST-107,361.55,PAID,US-EAST
324,CUST-645,227.32,REFUNDED,AP-SOUTH
325,CUST-173,610.31,PAID,EU-CENTRAL
326,CUST-179,534.74,PAID,AP-SOUTH
327,CUST-826,526.56,PENDING,AP-SOUTH
328,CUST-121,361.63,REFUNDED,AP-SOUTH
329,CUST-571,222.81,PAID,LATAM-NORTH
330,CUST-349,535.32,PAID,US-EAST
331,CUST-505,492.53,PENDING,US-EAST
332,CUST-441,900.05,PAID,US-WEST
333,CUST-643,622.37,PAID,US-EAST
334,CUST-459,1088.99,PAID,EU-CENTRAL
335,CUST-302,141.31,PAID,EU-CENTRAL
336,CUST-281,200.39,PENDING,US-EAST
337,CUST-878,567.46,REFUNDED,LATAM-NORTH
338,CUST-758,549.71,PENDING,LATAM-NORTH
339,CUST-254,401.39,PENDING,EU-CENTRAL
340,CUST-746,100.58,REFUNDED,AP-SOUTH
341,CUST-157,959.67,PAID,LATAM-NORTH
342,CUST-562,107.54,PENDING,AP-SOUTH
343,CUST-178,87.13,PAID,EU-CENTRAL
344,CUST-573,721.01,PENDING,AP-SOUTH
345,CUST-560,674.09,PENDING,US-EAST
