payment_id,order_id,amount,method,gateway_fee,status
PAY-4,4,49.51,STRIPE,1.74,SETTLED
PAY-5,5,889.04,WIRE,26.08,SETTLED
PAY-7,7,616.32,STRIPE,18.17,SETTLED
PAY-9,9,975.13,STRIPE,28.58,SETTLED
PAY-11,11,140.61,PAYPAL,4.38,SETTLED
PAY-12,12,732.4,APPLE_PAY,21.54,SETTLED
PAY-15,15,701.28,STRIPE,20.64,SETTLED
PAY-16,16,1182.56,CREDIT_CARD,34.59,SETTLED
PAY-18,18,439.22,CREDIT_CARD,13.04,SETTLED
PAY-20,20,212.81,WIRE,6.47,SETTLED
PAY-21,21,827.84,CREDIT_CARD,24.31,SETTLED
PAY-22,22,493.37,WIRE,14.61,SETTLED
PAY-23,23,270.9,APPLE_PAY,8.16,SETTLED
PAY-24,24,332.56,WIRE,9.94,SETTLED
PAY-28,28,200.35,APPLE_PAY,6.11,SETTLED
PAY-31,31,822.73,WIRE,24.16,SETTLED
PAY-32,32,926.95,PAYPAL,27.18,SETTLED
PAY-34,34,1166.83,CREDIT_CARD,34.14,SETTLED
PAY-35,35,1013.17,STRIPE,29.68,SETTLED
PAY-36,36,461.22,WIRE,13.68,SETTLED
PAY-37,37,726.75,CREDIT_CARD,21.38,SETTLED
PAY-38,38,1056.89,CREDIT_CARD,30.95,SETTLED
PAY-39,39,1056.05,APPLE_PAY,30.93,SETTLED
PAY-40,40,1174.02,STRIPE,34.35,SETTLED
PAY-41,41,798.51,PAYPAL,23.46,SETTLED
PAY-44,44,490.81,WIRE,14.53,SETTLED
PAY-46,46,44.82,WIRE,1.6,SETTLED
PAY-47,47,28.49,CREDIT_CARD,1.13,SETTLED
PAY-48,48,1034.37,STRIPE,30.3,SETTLED
PAY-49,49,809.39,STRIPE,23.77,SETTLED
PAY-52,52,797.6,APPLE_PAY,23.43,SETTLED
PAY-54,54,91.52,CREDIT_CARD,2.95,SETTLED
PAY-55,55,246.08,STRIPE,7.44,SETTLED
PAY-57,57,542.89,CREDIT_CARD,16.04,SETTLED
PAY-59,59,216.25,STRIPE,6.57,SETTLED
PAY-61,61,1182.66,APPLE_PAY,34.6,SETTLED
PAY-62,62,519.15,APPLE_PAY,15.36,SETTLED
PAY-63,63,244.08,WIRE,7.38,SETTLED
PAY-65,65,709.33,WIRE,20.87,SETTLED
PAY-66,66,87.12,STRIPE,2.83,SETTLED
PAY-67,67,722.14,CREDIT_CARD,21.24,SETTLED
PAY-71,71,301.65,PAYPAL,9.05,SETTLED
PAY-74,74,654.41,STRIPE,19.28,SETTLED
PAY-75,75,1059.42,PAYPAL,31.02,SETTLED
PAY-76,76,537.06,PAYPAL,15.87,SETTLED
PAY-79,79,332.07,WIRE,9.93,SETTLED
PAY-80,80,341.37,PAYPAL,10.2,SETTLED
PAY-81,81,831.25,APPLE_PAY,24.41,SETTLED
PAY-82,82,1088.3,APPLE_PAY,31.86,SETTLED
PAY-83,83,72.02,STRIPE,2.39,SETTLED
PAY-84,84,210.67,APPLE_PAY,6.41,SETTLED
PAY-86,86,663.8,WIRE,19.55,SETTLED
PAY-87,87,527.15,PAYPAL,15.59,SETTLED
PAY-88,88,1080.73,STRIPE,31.64,SETTLED
PAY-89,89,437.34,APPLE_PAY,12.98,SETTLED
PAY-91,91,1171.92,CREDIT_CARD,34.29,SETTLED
PAY-92,92,889.15,APPLE_PAY,26.09,SETTLED
PAY-93,93,334.83,CREDIT_CARD,10.01,SETTLED
PAY-95,95,988.23,CREDIT_CARD,28.96,SETTLED
PAY-96,96,490.19,CREDIT_CARD,14.52,SETTLED
