refund_id,order_id,amount,reason,processed_at
REF-6,6,57.5,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-10,10,421.5,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-17,17,348.01,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-30,30,644.35,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-33,33,206.63,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-45,45,162.78,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-51,51,972.85,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-53,53,1039.33,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-56,56,236.52,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-60,60,1084.88,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-72,72,393.09,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-73,73,752.97,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-94,94,282.47,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-103,103,22.0,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-111,111,817.24,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-116,116,509.04,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-117,117,603.37,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-123,123,1000.07,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-126,126,759.56,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-131,131,93.47,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-137,137,874.53,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-140,140,180.13,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-155,155,144.54,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-156,156,854.62,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-166,166,596.52,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-167,167,782.17,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-180,180,539.75,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-182,182,600.26,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-186,186,1092.04,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-203,203,1100.97,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-204,204,769.05,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-205,205,430.59,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-212,212,916.79,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-214,214,163.28,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-218,218,1120.53,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-220,220,670.49,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-229,229,852.17,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-232,232,137.66,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-236,236,1049.41,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-238,238,1174.44,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-247,247,834.57,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-259,259,1161.51,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-265,265,49.53,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-267,267,1093.08,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-268,268,157.68,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-276,276,345.54,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-277,277,128.17,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-290,290,1019.81,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-295,295,616.55,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-297,297,552.83,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-300,300,99.22,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-301,301,133.95,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-308,308,1017.28,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-318,318,508.74,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-324,324,227.32,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-328,328,361.63,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-337,337,567.46,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-340,340,100.58,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-347,347,611.61,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-350,350,1189.36,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-352,352,502.35,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-357,357,172.16,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-367,367,71.56,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-392,392,71.37,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-403,403,1075.67,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-415,415,1139.61,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-429,429,991.54,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-445,445,568.04,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-447,447,174.3,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-451,451,312.96,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-453,453,1195.24,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-455,455,1160.69,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-457,457,357.18,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-459,459,451.81,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-469,469,1188.93,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-475,475,221.2,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-476,476,194.38,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-499,499,1061.05,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-500,500,949.79,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-503,503,1187.14,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-504,504,1069.33,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-510,510,628.03,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-516,516,829.57,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-519,519,902.33,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-520,520,848.29,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-534,534,461.86,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-535,535,463.26,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-539,539,647.68,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-540,540,428.47,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-543,543,725.39,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-549,549,675.9,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-550,550,947.25,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-551,551,501.75,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-560,560,266.49,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-562,562,1099.04,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-572,572,563.78,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-578,578,38.56,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-579,579,33.98,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-581,581,971.28,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-584,584,113.24,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-587,587,465.06,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-597,597,293.93,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-600,600,289.2,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-601,601,239.17,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-602,602,121.12,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-604,604,859.78,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-605,605,393.68,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-618,618,412.02,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-621,621,390.74,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-627,627,814.11,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-629,629,107.28,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-631,631,661.5,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-635,635,145.01,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-638,638,931.36,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-643,643,871.95,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-648,648,763.12,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-649,649,486.79,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-650,650,718.8,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-653,653,154.47,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-664,664,1157.32,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-665,665,502.78,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-666,666,596.67,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-673,673,140.85,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-675,675,1041.04,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-686,686,109.11,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-688,688,406.2,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-694,694,39.21,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-695,695,20.8,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-699,699,793.47,CUSTOMER_RETURN,2026-09-15T12:00:00Z
REF-703,703,103.58,CUSTOMER_RETURN,2026-09-15T12:00:00Z
